product_id,price
420000082,3946
1229094,4263
1229103,4205
420000080,7648
420000081,8961
1201309,8025
1201500,13211
420000010,8482
420000971,2957
420000974,2957
1229204,4352
1202508,23429
1202500,23511
420000208,15670
1202510,34458
1202502,34130
1202511,58774
1202503,59918
420001459,7008
420001458,10130
1222200,10327
1202516,9437
1202517,8431
1202518,8276
1202578,17150
1202295,6401
1202291,6495
1202292,6495
1212394,7322
420000210,6233
420000209,6233
420000212,13183
420000211,13183
420000226,443
1229090,375
1229091,1076
1229092,1706
1229096,1065
420000005,267
1201305,1630
1201306,461
1201307,942
1201304,1175
420000244,1125
420000215,850
420001470,7968
420001469,7968
420000223,135
1212901,420
1229205,1352
420000077,922
1201511,304
1201509,765
1201508,605
1201507,388
1201510,556
1201506,388
1201502,695
1201505,802
1201504,895
420000015,844
420000011,691
420000014,740
420000013,838
1202555,5365
1202598,170
1202531,1891
1202530,2509
1202527,2003
1202591,5141
1202599,2419
1202542,5778
1202539,4122
1202571,3526
1202563,2235
1202554,1378
1202549,5070
1202546,4260
1202543,5223
1202553,527
1202552,1647
1202525,2509
1202522,2038
1202537,2547
1202534,2013
1202600,514
1202557,4005
1202593,3386
1202566,3404
1202565,3523
1202596,746
1202592,3467
1202595,3463
1202567,3615
1202586,7247
1202583,5389
1202601,1423
1202605,1122
1202603,3159
1202597,1410
1202589,1133
1202588,3549
1202293,145
420001455,3223
1222207,3286
1222212,3559
420001463,3491
420001457,6008
420001461,3494
420001467,1503
1202205,1532
1830121,522
1830120,65
1222208,3473
420001468,4974
1202241,2690
1222218,4221
420001454,3213
1222206,3276
1222210,3153
420001462,3093
1222209,3153
420001456,6008
1222204,6125
1222214,2635
420001460,2585
1222213,2635
1202580,464
428218124,1077
1202520,1282
1202558,4978
1202581,2983
1202290,1309
420001465,6982
420001464,3400
420001466,3757
420001873,3557
1202206,542
420000220,2978
420000214,1669
420000216,2656
420000224,659
420000213,1342
420000217,2635
420000222,2020
1202283,2125
1202570,11697
1202590,5712
1202281,2803
1202282,2803
1207904,1056
1207901,4746
1222223,10347
1202550,3774
1202551,3798
